name	cl_id	cl_label	ols
Astro	CL:0000127	astrocyte	https://www.ebi.ac.uk/ols/ontologies/cl/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FCL_0000127
CR	CL:0000679	glutamatergic neuron	https://www.ebi.ac.uk/ols/ontologies/cl/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FCL_0000679
Endo	CL:0000115	endothelial cell	https://www.ebi.ac.uk/ols/ontologies/cl/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FCL_0000115
L2/3 IT	CL:4023047	L2/3 intratelencephalic projecting glutamatergic neuron of the primary motor cortex	https://www.ebi.ac.uk/ols/ontologies/cl/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FCL_4023047
L5 ET	CL:4023041	L5 extratelencephalic projecting glutamatergic cortical neuron	https://www.ebi.ac.uk/ols/ontologies/cl/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FCL_4023041
L5 IT	CL:4023049	L5 intratelencephalic projecting glutamatergic neuron of the primary motor cortex	https://www.ebi.ac.uk/ols/ontologies/cl/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FCL_4023049
L5/6 NP	CL:4023043	L5/6 near-projecting glutamatergic neuron of the primary motor cortex	https://www.ebi.ac.uk/ols/ontologies/cl/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FCL_4023043
L6 CT	CL:4023042	L6 corticothalamic-projecting glutamatergic cortical neuron	https://www.ebi.ac.uk/ols/ontologies/cl/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FCL_4023042
L6 IT	CL:4023050	L6 intratelencephalic projecting glutamatergic neuron of the primary motor cortex	https://www.ebi.ac.uk/ols/ontologies/cl/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FCL_4023050
L6 IT Car3	CL:4023050	L6 intratelencephalic projecting glutamatergic neuron of the primary motor cortex	https://www.ebi.ac.uk/ols/ontologies/cl/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FCL_4023050
L6b	CL:4023046	L6b subplate glutamatergic neuron of the primary motor cortex	https://www.ebi.ac.uk/ols/ontologies/cl/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FCL_4023046
Lamp5	CL:4023011	lamp5 GABAergic cortical interneuron	https://www.ebi.ac.uk/ols/ontologies/cl/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FCL_4023011
Macrophage	CL:0000235	macrophage	https://www.ebi.ac.uk/ols/ontologies/cl/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FCL_0000235
Micro	CL:0000129	microglial cell	https://www.ebi.ac.uk/ols/ontologies/cl/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FCL_0000129
OPC	CL:0002453	oligodendrocyte precursor cell	https://www.ebi.ac.uk/ols/ontologies/cl/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FCL_0002453
Oligo	CL:0000128	oligodendrocyte	https://www.ebi.ac.uk/ols/ontologies/cl/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FCL_0000128
Peri	CL:2000043	brain pericyte	https://www.ebi.ac.uk/ols/ontologies/cl/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FCL_2000043
Prog/IP	CL:0000003	native cell	https://www.ebi.ac.uk/ols/ontologies/cl/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FCL_0000003
Pvalb	CL:4023018	pvalb GABAergic cortical interneuron	https://www.ebi.ac.uk/ols/ontologies/cl/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FCL_4023018
SMC	CL:0002590	smooth muscle cell of the brain vasculature	https://www.ebi.ac.uk/ols/ontologies/cl/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FCL_0002590
Sncg	CL:4023015	sncg GABAergic cortical interneuron	https://www.ebi.ac.uk/ols/ontologies/cl/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FCL_4023015
Sst	CL:4023017	sst GABAergic cortical interneuron	https://www.ebi.ac.uk/ols/ontologies/cl/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FCL_4023017
VLMC	CL:4023051	vascular leptomeningeal cell	https://www.ebi.ac.uk/ols/ontologies/cl/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FCL_4023051
Vip	CL:4023016	vip GABAergic cortical interneuron	https://www.ebi.ac.uk/ols/ontologies/cl/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FCL_4023016
